#,Calculator,Iter,CheckName,Type,Inputs,Expected,Tolerance
1,dBmConverter,0,dBm[0] mW,numeric,dbm=-8.33149,0.146842,±0.2%
2,dBmConverter,0,dBm[0] dBW,numeric,dbm=-8.33149,-38.3315,±0.1%
3,dBmConverter,1,dBm[1] mW,numeric,dbm=46.0588,40353.4,±0.2%
4,dBmConverter,1,dBm[1] dBW,numeric,dbm=46.0588,16.0588,±0.1%
5,dBmConverter,2,dBm[2] mW,numeric,dbm=-46.2747,0.0000235794,±0.2%
6,dBmConverter,2,dBm[2] dBW,numeric,dbm=-46.2747,-76.2747,±0.1%
7,dBmConverter,3,dBm[3] mW,numeric,dbm=-27.8761,0.00163077,±0.2%
8,dBmConverter,3,dBm[3] dBW,numeric,dbm=-27.8761,-57.8761,±0.1%
9,dBmConverter,4,dBm[4] mW,numeric,dbm=-11.1523,0.0766954,±0.2%
10,dBmConverter,4,dBm[4] dBW,numeric,dbm=-11.1523,-41.1523,±0.1%
11,dBmConverter,5,dBm[5] mW,numeric,dbm=34.4637,2794.95,±0.2%
12,dBmConverter,5,dBm[5] dBW,numeric,dbm=34.4637,4.46373,±0.1%
13,dBmConverter,6,dBm[6] mW,numeric,dbm=-28.1338,0.00153682,±0.2%
14,dBmConverter,6,dBm[6] dBW,numeric,dbm=-28.1338,-58.1338,±0.1%
15,dBmConverter,7,dBm[7] mW,numeric,dbm=48.4955,70720.6,±0.2%
16,dBmConverter,7,dBm[7] dBW,numeric,dbm=48.4955,18.4955,±0.1%
17,dBmConverter,8,dBm[8] mW,numeric,dbm=33.0371,2012.37,±0.2%
18,dBmConverter,8,dBm[8] dBW,numeric,dbm=33.0371,3.03709,±0.1%
19,dBmConverter,9,dBm[9] mW,numeric,dbm=-19.4724,0.0112918,±0.2%
20,dBmConverter,9,dBm[9] dBW,numeric,dbm=-19.4724,-49.4724,±0.1%
21,dBmConverter,10,dBm[10] mW,numeric,dbm=-9.88074,0.102784,±0.2%
22,dBmConverter,10,dBm[10] dBW,numeric,dbm=-9.88074,-39.8807,±0.1%
23,dBmConverter,11,dBm[11] mW,numeric,dbm=-22.4431,0.0056976,±0.2%
24,dBmConverter,11,dBm[11] dBW,numeric,dbm=-22.4431,-52.4431,±0.1%
25,dBmConverter,12,dBm[12] mW,numeric,dbm=-47.9586,0.0000160006,±0.2%
26,dBmConverter,12,dBm[12] dBW,numeric,dbm=-47.9586,-77.9586,±0.1%
27,dBmConverter,13,dBm[13] mW,numeric,dbm=-23.0508,0.0049536,±0.2%
28,dBmConverter,13,dBm[13] dBW,numeric,dbm=-23.0508,-53.0508,±0.1%
29,dBmConverter,14,dBm[14] mW,numeric,dbm=0.908745,1.23275,±0.2%
30,dBmConverter,14,dBm[14] dBW,numeric,dbm=0.908745,-29.0913,±0.1%
31,dBmConverter,15,dBm[15] mW,numeric,dbm=-47.4885,0.0000178298,±0.2%
32,dBmConverter,15,dBm[15] dBW,numeric,dbm=-47.4885,-77.4885,±0.1%
33,dBmConverter,16,dBm[16] mW,numeric,dbm=-19.3169,0.0117034,±0.2%
34,dBmConverter,16,dBm[16] dBW,numeric,dbm=-19.3169,-49.3169,±0.1%
35,dBmConverter,17,dBm[17] mW,numeric,dbm=-15.973,0.0252755,±0.2%
36,dBmConverter,17,dBm[17] dBW,numeric,dbm=-15.973,-45.973,±0.1%
37,dBmConverter,18,dBm[18] mW,numeric,dbm=-31.7693,0.000665387,±0.2%
38,dBmConverter,18,dBm[18] dBW,numeric,dbm=-31.7693,-61.7693,±0.1%
39,dBmConverter,19,dBm[19] mW,numeric,dbm=3.04951,2.01814,±0.2%
40,dBmConverter,19,dBm[19] dBW,numeric,dbm=3.04951,-26.9505,±0.1%
41,dBmConverter,20,dBm[20] mW,numeric,dbm=6.82943,4.81884,±0.2%
42,dBmConverter,20,dBm[20] dBW,numeric,dbm=6.82943,-23.1706,±0.1%
43,dBmConverter,21,dBm[21] mW,numeric,dbm=-25.1196,0.00307638,±0.2%
44,dBmConverter,21,dBm[21] dBW,numeric,dbm=-25.1196,-55.1196,±0.1%
45,dBmConverter,22,dBm[22] mW,numeric,dbm=24.9004,309.055,±0.2%
46,dBmConverter,22,dBm[22] dBW,numeric,dbm=24.9004,-5.09965,±0.1%
47,dBmConverter,23,dBm[23] mW,numeric,dbm=-18.5613,0.0139274,±0.2%
48,dBmConverter,23,dBm[23] dBW,numeric,dbm=-18.5613,-48.5613,±0.1%
49,dBmConverter,24,dBm[24] mW,numeric,dbm=-25.062,0.00311749,±0.2%
50,dBmConverter,24,dBm[24] dBW,numeric,dbm=-25.062,-55.062,±0.1%
51,dBmConverter,25,dBm[25] mW,numeric,dbm=-21.5755,0.00695738,±0.2%
52,dBmConverter,25,dBm[25] dBW,numeric,dbm=-21.5755,-51.5755,±0.1%
53,dBmConverter,26,dBm[26] mW,numeric,dbm=-9.40019,0.11481,±0.2%
